AirlineName,AirportName,AvgDepDelay
"Alaska Airlines Inc.: AS","Philadelphia, PA: Philadelphia International",23.1484
"Allegiant Air: G4","Chattanooga, TN: Lovell Field",67.4444
"Allegiant Air: G4","Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",60.5333
"American Airlines Inc.: AA","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",48.5185
"American Airlines Inc.: AA","Lihue, HI: Lihue Airport",29.9922
"Delta Air Lines Inc.: DL","Lihue, HI: Lihue Airport",41.3871
"Endeavor Air Inc.: 9E","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",99.0000
"Envoy Air: MQ","Bangor, ME: Bangor International",56.9737
"ExpressJet Airlines LLC: EV","Albany, NY: Albany International",500.0000
"Frontier Airlines Inc.: F9","Portsmouth, NH: Portsmouth International at Pease",82.0000
"Hawaiian Airlines Inc.: HA","Pago Pago, TT: Pago Pago International",84.4286
"JetBlue Airways: B6","Nashville, TN: Nashville International",65.0753
"Mesa Airlines Inc.: YV","Traverse City, MI: Cherry Capital",109.0000
"PSA Airlines Inc.: OH","Traverse City, MI: Cherry Capital",76.0000
"Republic Airline: YX","Rapid City, SD: Rapid City Regional",42.6250
"SkyWest Airlines Inc.: OO","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",135.5385
"Southwest Airlines Co.: WN","New York, NY: LaGuardia",25.2042
"Spirit Air Lines: NK","Richmond, VA: Richmond International",39.4194
"United Air Lines Inc.: UA","Traverse City, MI: Cherry Capital",58.5000
